order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00433140,2024-04-11,P0054,S072,C025073,5,5.03,0.15,21.38,11.0,10.37
0RD00348688,2024-07-10,P0131,S021,C017554,4,6.55,0.0,26.2,17.44,8.76
0RD00388538,2023-12-30,P0034,S024,C013302,1,4.19,0.1,3.77,2.37,1.4
0RD00583679,2023-10-31,P0074,S021,C001092,4,4.29,0.0,17.16,8.61,8.55
0RD00287079,2024-08-25,P0195,S045,C048320,1,13.76,0.0,13.76,7.46,6.3
0RD00604749,2024-12-09,P0021,S066,C000401,4,6.78,0.0,27.12,15.81,11.31
0RD00103033,2023-06-13,P0078,S058,C004495,2,13.37,0.0,26.74,16.57,10.17
0RD00084041,2023-04-15,P0194,S014,C031199,3,7.98,0.0,23.94,12.98,10.96
0RD00230515,2024-09-23,P0182,S044,C043449,2,4.07,0.1,7.33,3.94,3.39
0RD00729692,2023-08-18,P0133,S047,C001369,5,13.09,0.1,58.91,35.26,23.64
0RD00452737,2023-05-11,P0067,S055,C037818,2,7.56,0.0,15.12,10.48,4.64
0RD00535919,2023-02-24,P0052,S011,C015867,4,3.96,0.0,15.84,10.63,5.21
0RD00902693,2023-03-13,P0138,S075,C030465,3,7.45,0.0,22.35,12.24,10.11
0RD00858727,2023-07-17,P0184,S093,C044318,3,14.66,0.0,43.98,28.69,15.29
0RD00641168,2023-03-06,P0090,S004,C020494,2,10.4,0.15,17.68,10.17,7.51
0RD00568632,2023-10-13,P0110,S058,C026176,5,5.83,0.0,29.15,15.87,13.28
0RD00139078,2023-09-26,P0167,S042,C009759,3,13.3,0.0,39.9,27.65,12.25
0RD00734110,2024-07-09,P0065,S054,C026469,4,8.77,0.0,35.08,24.25,10.83
0RD00863364,2023-06-27,P0122,S022,C006039,1,13.65,0.15,11.6,7.27,4.33
0RD00137428,2024-10-06,P0134,S096,C024972,4,12.24,0.1,44.06,30.5,13.56
0RD00930538,2023-02-03,P0166,S066,C022196,3,14.76,0.0,44.28,28.53,15.75
0RD00322027,2024-01-20,P0166,S035,C023185,1,14.14,0.0,14.14,9.82,4.32
0RD00932500,2023-09-27,P0109,S019,C038899,2,14.82,0.0,29.64,20.64,9.0
0RD00383554,2024-08-13,P0073,S029,C031310,2,8.88,0.0,17.76,9.85,7.91
0RD00458585,2024-09-04,P0009,S003,C045036,1,12.52,0.0,12.52,7.77,4.75
0RD00986689,2023-07-12,P0142,S008,C037807,2,4.87,0.0,9.74,5.11,4.63
0RD00877684,2024-04-11,P0151,S091,C001559,5,8.74,0.0,43.7,28.42,15.28
0RD00084511,2024-06-14,P0149,S079,C044576,1,8.23,0.0,8.23,5.13,3.1
0RD00337791,2023-03-01,P0011,S053,C048636,4,6.23,0.0,24.92,12.69,12.23
0RD00469339,2023-03-07,P0001,S016,C003102,5,12.03,0.2,48.12,27.18,20.94
0RD00953368,2024-08-04,P0156,S095,C015717,1,14.39,0.15,12.23,8.07,4.16
0RD00799475,2023-01-26,P0040,S091,C024581,5,5.6,0.1,25.2,13.63,11.57
0RD00757241,2024-10-26,P0196,S089,C037920,2,7.45,0.0,14.9,9.15,5.75
