id,author,conference,mdate,title,year
2434616,"Aoqian Zhang,Jianmin Wang 0001,Shaoxu Song",SIGMOD Conference,06-11-18,Sequential Data Cleaning: A Statistical Approach.,2016
2434626,"Niv Dayan,Philippe Bonnet,Stratos Idreos",SIGMOD Conference,06-11-18,GeckoFTL: Scalable Flash Translation Techniques For Very Large Flash Devices.,2016
2434681,"Feifei Li 0001,Ji-Rong Wen,Shuo Shang,Xiaoyong Du,Xuancheng Liu,Zhewei Wei",SIGMOD Conference,06-11-18,Matrix Sketching Over Sliding Windows.,2016
2434693,"Alexander L. Wolf,Alexandros Koliousis,Matthias Weidlich,Paolo Costa,Peter R. Pietzuch,Raul Castro Fernandez",SIGMOD Conference,06-11-18,SABER: Window-Based Hybrid Stream Processing for Heterogeneous Architectures.,2016
2434711,"Anshumali Shrivastava,Arnd Christian König,Mikhail Bilenko",SIGMOD Conference,06-11-18,Time Adaptive Sketches (Ada-Sketches) for Summarizing Data Streams.,2016
2434746,Yannis Papakonstantinou,SIGMOD Conference,06-11-18,"Semistructured Models, Queries and Algebras in the Big Data Era: Tutorial Summary.",2016
2434755,"Felix Naumann,Thorsten Papenbrock",SIGMOD Conference,06-11-18,A Hybrid Approach to Functional Dependency Discovery.,2016
2434760,"Alexander Avram,Avigdor Gal,Omer Barkol,Ruth Bergman,Tomer Sagi",SIGMOD Conference,06-11-18,Multi-Source Uncertain Entity Resolution at Yad Vashem: Transforming Holocaust Victim Reports into People.,2016
2434786,"Ali Ghodsi 0002,Davies Liu,Eric Liang,Hossein Falaki,Ion Stoica,Matei Zaharia,Michael J. Franklin,Reynold Xin,Shivaram Venkataraman,Xiangrui Meng,Zongheng Yang",SIGMOD Conference,06-11-18,SparkR: Scaling R Programs with Spark.,2016
2434798,"Bin Wu 0003,Feifei Li 0001,Ke Yi,Zhuoyue Zhao",SIGMOD Conference,06-11-18,Wander Join: Online Aggregation for Joins.,2016
2434810,"Graham Cormode,Ting Yu,Zach Jorgensen",SIGMOD Conference,06-11-18,Publishing Attributed Social Graphs with Formal Privacy Guarantees.,2016
2434820,"Derrick Bryant,Entong Shen,F. Michael Waas,John Eshleman,Lyublena Antova,Michael Duller,Mohamed A. Soliman,Rhonda Baldwin,Tuan Cao,Zhongxian Gu",SIGMOD Conference,06-11-18,Datometry Hyper-Q: Bridging the Gap Between Real-Time and Historical Analytics.,2016
2434823,"Aditya G. Parameswaran,Akash Das Sarma,Jennifer Widom",SIGMOD Conference,14-11-18,Towards Globally Optimal Crowdsourcing Quality Management: The Uniform Worker Setting.,2016
2434829,"Doug Bateman,Matei Zaharia,Michael Armbrust,Reynold Xin",SIGMOD Conference,06-11-18,Introduction to Spark 2.0 for Database Researchers.,2016
2434841,"Martin Theobald,Sairam Gurajada",SIGMOD Conference,06-11-18,Distributed Set Reachability.,2016
2434849,"Anshul Jaiswal,Guoqiang Jerry Chen,Janet L. Wiener,Kevin Wilfong,Nikhil Simha,Ran Lei,Serhat Yilmaz,Shridhar Iyer,Tim Williamson,Wei Wang",SIGMOD Conference,06-11-18,Realtime Data Processing at Facebook.,2016
2434856,"Alexander Kalinin 0001,Stan Zdonik,Ugur Çetintemel",SIGMOD Conference,06-11-18,Interactive Search and Exploration of Waveform Data with Searchlight.,2016
