Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
257170,213940,-4.07309,51.805763,63,3,2,1,14-10-14,3,5:20,751,W06000010,3,476,6,40,0,-1,-1,0,0,0,4,1,2,0,0,1,1,W01000664
450949,358231,-1.240188,53.118813,31,3,2,1,07-07-14,2,17:30,340,E10000024,4,6021,6,40,3,4,6,0,0,8,1,1,1,0,0,1,1,E01027972
330395,137268,-2.996144,51.130386,52,3,1,1,22-09-14,2,11:05,607,E10000027,3,38,3,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01029095
485483,159933,-0.774382,51.332021,45,3,2,1,15-07-14,3,21:05,515,E10000030,3,331,1,40,1,2,3,30,0,0,7,1,1,0,0,1,2,E01030793
555840,147110,0.2293,51.201891,46,3,2,1,08-05-14,5,9:14,542,E10000016,3,21,3,70,0,-1,-1,0,0,0,1,2,2,5,2,2,1,E01024752
534638,106618,-0.089015,50.843362,47,3,2,1,06-09-14,7,10:40,565,E06000043,6,0,6,20,3,4,6,0,0,0,1,1,1,4,0,1,2,E01016906
492640,165050,-0.670348,51.3769,45,3,1,1,19-11-14,4,18:25,515,E10000030,3,30,6,50,0,-1,-1,0,0,0,7,1,2,0,0,1,1,E01030810
529640,191080,-0.129437,51.603593,1,3,2,1,22-03-14,7,15:30,31,E09000014,4,106,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01001962
513164,311305,-0.327221,52.687594,32,3,1,1,07-10-14,3,9:10,355,E10000019,3,15,3,70,1,4,3,1175,0,0,1,2,2,0,0,2,1,E01026336
339536,388260,-2.910602,53.387694,5,3,1,1,05-07-14,7,22:25,91,E08000012,3,5058,1,30,1,4,3,562,0,0,4,1,1,0,0,1,1,E01006591
380955,422675,-2.289954,53.700156,4,3,2,1,12-02-14,4,17:10,82,E10000017,3,681,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01033281
358643,171562,-2.596456,51.441482,52,3,1,1,03-10-14,6,15:40,601,E06000023,6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,2,E01033359
358000,406085,-2.63539,53.549701,6,3,3,2,17-10-14,6,11:00,114,E08000010,4,5375,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01006369
408930,293670,-1.869772,52.540787,20,2,2,1,29-08-14,6,7:05,300,E08000025,3,453,3,30,0,-1,-1,0,0,0,1,1,1,0,2,1,1,E01009122
520400,177930,-0.267289,51.487458,1,3,2,1,08-08-14,6,3:30,25,E09000018,3,4,3,40,6,2,5,0,0,5,4,1,1,0,0,1,2,E01002577
556938,369661,0.348123,53.200844,32,3,1,1,19-07-14,7,14:50,351,E10000019,6,0,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01026069
563338,180834,0.352004,51.502786,42,3,3,1,28-10-14,3,18:30,462,E06000034,3,13,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01015977
240043,638348,-4.541212,55.612398,97,3,1,1,03-03-14,2,11:15,919,S12000008,4,7081,1,30,1,4,4,7081,0,0,1,1,1,0,0,2,1,
437520,293998,-1.448196,52.542522,23,2,2,2,19-06-14,5,12:40,291,E10000031,6,0,6,40,3,4,6,0,0,0,1,1,1,0,0,1,1,E01031110
534460,187220,-0.061357,51.567777,1,3,4,1,19-03-14,4,18:15,4,E09000012,3,107,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01001827
509560,182600,-0.4219,51.531635,1,3,2,1,01-08-14,6,17:27,26,E09000017,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002422
492175,162360,-0.677724,51.352794,45,2,1,1,14-03-14,6,12:30,515,E10000030,6,17,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01030781
544250,154740,0.066592,51.273498,46,3,2,1,19-08-14,3,12:46,538,E10000016,1,25,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01024484
576490,167360,0.534596,51.377799,46,3,1,1,09-12-14,3,16:00,544,E06000035,6,0,6,30,3,4,6,0,0,0,4,1,4,0,0,1,1,E01016019
