id,author,conference,mdate,title,year
2742555,"Mohamed F. Mokbel,Moustafa A. Hammad,Sunil Prabhakar,Susanne E. Hambrusch,Walid G. Aref,Xiaopeng Xiong",VLDB,17-09-12,PLACE: A Query Processor for Handling Real-time Spatio-temporal Data Streams.,2004
2742556,"Paul Bird,Walid Rjaibi",VLDB,17-09-12,A Multi-Purpose Implementation of Mandatory Access Control in Relational Database Management Systems.,2004
2742558,"Beng Chin Ooi,Chenyi Xia,Hongjun Lu,Jin Hu",VLDB,17-09-12,Gorder: An Efficient Method for KNN Join Processing.,2004
2742582,Ramesh Bhashyam,VLDB,17-09-12,Technology Challenges in a Data Warehouse.,2004
2742600,"Alan Halverson,Guy M. Lohman,Hamid Pirahesh,Mathias Mörschel,Vanja Josifovski",VLDB,17-09-12,ROX: Relational Over XML.,2004
2742653,"Rakesh Agrawal 0001,Ramakrishnan Srikant",VLDB,07-11-17,Whither Data Mining?,2004
2742665,"Charu C. Aggarwal,Jianyong Wang,Jiawei Han 0001,Philip S. Yu",VLDB,05-06-17,A Framework for Projected Clustering of High Dimensional Data Streams.,2004
2742679,"Carlos A. Heuser,Susan B. Davidson,Vanessa P. Braganholo",VLDB,17-09-12,From XML View Updates to Relational View Updates: old solutions to a new problem.,2004
2742681,"Dimitrios Gunopulos,Eamonn J. Keogh,Marc Cardle,Themis Palpanas,Victor B. Zordan",VLDB,17-09-12,Indexing Large Human-Motion Databases.,2004
2742698,"Ganesh Ramesh,Laks V. S. Lakshmanan,Wendy Hui Wang,Zheng (Jessica) Zhao",VLDB,17-09-12,On Testing Satisfiability of Tree Pattern Queries.,2004
2742720,"Glenn Simmons Iwerks,Hanan Samet,Kenneth P. Smith",VLDB,16-03-17,Maintenance of Spatial Semijoin Queries on Moving Points.,2004
2742747,"Patrick Hunt,Raymie Stata,Thiruvalluvan M. G.",VLDB,17-09-12,The Bloomba Personal Content Database.,2004
2742758,"Arnon Rosenthal,Marianne Winslett",VLDB,17-09-12,Security of Shared Data in Large Systems: State of the Art and Research Directions.,2004
2742780,"Amr El Abbadi,Chengyu Sun,Divyakant Agrawal,Nagender Bandi",VLDB,17-09-12,Hardware Acceleration in Commercial Databases: A Case Study of Spatial Operations.,2004
2742785,"Adam J. Storm,Christian Garcia-Arellano,Daniel C. Zilio,Guy M. Lohman,Jun Rao,Sam Lightstone,Scott Fadden",VLDB,17-09-12,DB2 Design Advisor: Integrated Automatic Physical Database Design.,2004
