Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
387487,656632,-2.201176,55.802847,95,3,1,1,11-10-14,7,22:16,914,S12000026,4,6355,6,30,3,4,6,0,0,0,7,1,1,0,0,2,2,
378484,347060,-2.322213,53.020382,21,3,1,2,13-08-14,4,20:45,253,E10000028,1,6,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01029576
475164,260408,-0.900732,52.236706,34,3,2,1,12-03-14,4,12:50,384,E10000021,3,508,3,30,6,2,6,8144,0,5,1,1,1,0,0,1,1,E01032979
162805,25636,-5.317077,50.083316,50,3,1,1,09-09-14,3,18:20,596,E06000052,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01018906
539280,176710,0.003992,51.472164,1,2,1,3,09-11-14,1,17:25,6,E09000011,3,2,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01003200
300060,528860,-3.550249,54.644931,3,3,2,2,02-07-14,4,11:30,60,E10000006,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01019121
542130,263500,0.080682,52.251286,35,3,1,1,31-05-14,7,6:50,395,E10000003,5,204,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01018237
494470,270654,-0.615227,52.325824,34,3,2,1,30-11-14,1,21:30,382,E10000021,6,3101,6,30,3,4,6,3105,0,0,7,1,1,0,0,2,2,E01027039
434423,387143,-1.483987,53.380011,14,3,1,1,19-04-14,7,0:30,215,E08000019,3,61,3,40,6,2,5,706,0,4,4,1,1,0,0,1,1,E01007866
554070,280540,0.263255,52.401152,35,3,2,1,24-02-14,2,15:00,391,E10000003,5,315,6,30,3,2,5,136,0,5,1,1,2,0,0,1,1,E01018025
545810,183950,0.100938,51.535575,1,3,2,1,18-04-14,6,13:04,16,E09000002,3,123,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000043
